,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14
ZNF639_CNV,0.32474503444132385,0.009326516500953059,0.10232130464898356,0.0016039854390289734,-0.07573585687957654,-0.04870447156016133,0.0014280010573072199,0.002602920321694275,1.871280960055857e-05,0.00363621897658481,0.062090210449901345,-0.0002845911598259558,0.015739533475580495,-0.050598802929154196
EIF4G1_CNV,0.32506330608119377,0.014168374813774042,0.09795395218667372,0.0010567289321310412,-0.07753249587627574,-0.04779295495774842,0.0002701719444969324,4.9437819263013064e-06,2.1692264402444124e-05,0.0004313626313240331,0.06855123479813653,-0.008192969293318628,0.02426675428672111,-0.047968095788212844
FAM131A_CNV,0.32506330608119377,0.014168374813774042,0.09795395218667372,0.0010567289321310412,-0.07753249587627574,-0.04779295495774842,0.0002701719444969324,4.9437819263013064e-06,2.1692264402444124e-05,0.0004313626313240331,0.06855123479813653,-0.008192969293318628,0.02426675428672111,-0.047968095788212844
CLCN2_CNV,0.32506330608119377,0.014168374813774042,0.09795395218667372,0.0010567289321310412,-0.07753249587627574,-0.04779295495774842,0.0002701719444969324,4.9437819263013064e-06,2.1692264402444124e-05,0.0004313626313240331,0.06855123479813653,-0.008192969293318628,0.02426675428672111,-0.047968095788212844
MFN1_CNV,0.3236692441964473,0.005800520144778719,0.10421190924000638,0.0009881472164410823,-0.07418433745306667,-0.04862833622661581,0.0004901966318900485,0.002368937444681413,-3.24354600149584e-05,0.0018709851165907808,0.060121273182132985,-0.000258460396327499,0.015533683013344792,-0.048721708937445186
PSMD2_CNV,0.32480463905524565,0.014038187774522768,0.09808979457427372,0.0012371979056958818,-0.07757688756524354,-0.04757657326724399,0.0003191221592564821,1.0123641155139708e-05,2.6355823891511652e-05,0.0005262749900416288,0.06867276217015168,-0.008413014976566918,0.02442137641513262,-0.04784365311259804
SNORD66|ENSG00000212158.1_CNV,0.32480463905524565,0.014038187774522768,0.09808979457427372,0.0012371979056958818,-0.07757688756524354,-0.04757657326724399,0.0003191221592564821,1.0123641155139708e-05,2.6355823891511652e-05,0.0005262749900416288,0.06867276217015168,-0.008413014976566918,0.02442137641513262,-0.04784365311259804
TBL1XR1_CNV,0.3232911481026346,0.003241310787931582,0.09734751167401734,0.007149306171838723,-0.07559551083213525,-0.052016565370862924,0.0024260951144616937,0.0028627087549595908,0.00018181583976680405,0.012722366953994256,0.06222779083431164,-0.0009063505282766842,0.02134000319266625,-0.0495425272098211
GNB4_CNV,0.3236053276828784,0.005333789633826438,0.1043161659595986,0.001094974177945194,-0.07406752245261848,-0.04859406734343504,0.00041951014908685153,0.0025538986517881254,-3.254952697169664e-05,0.0018785656990827886,0.06006869297851682,-0.00026291438229713416,0.015486451350594942,-0.04926476285329262
RNA5SP147_CNV,0.32465598080434716,0.002795382990809223,0.10131075289202836,0.004881723507567513,-0.07260593832672677,-0.052833552381322174,0.001752373670718609,0.00437221307735179,9.714232154692789e-05,0.0060317484324882275,0.06175891464060398,-0.008113063338825843,0.020566304960933927,-0.05207257182223099
WHSC1L1_CNV,0.11077147884388441,-0.0004212186053002724,0.009228124175755213,0.034854735765100515,0.011677729750173116,0.04750419551076018,-0.035725395623762195,-2.89617559816046e-05,-0.00180332765740904,-0.0006609555568051728,0.0005491564680841443,0.03474113489987963,0.005987728073187528,0.007882461226706824
USP13_CNV,0.3247338346175085,0.009893338843269948,0.10282471742918876,0.0011732514668621142,-0.07153662305468986,-0.050362084433617,0.0002446399414279492,0.0065897585415041135,1.7773599496703643e-05,0.004354381197957876,0.0652228600694265,-0.0013311846413353767,0.018228104805201473,-0.04884808844812117
MIR4789_CNV,0.32282104338722933,0.002339883963522695,0.10205570875375707,0.008182285070198504,-0.06876254342816726,-0.05064952554075886,0.0015981386545538226,0.00457949961517872,0.00023749571681825593,0.011039386213231082,0.06204423956985936,-0.001163244881526448,0.020885550401790905,-0.05646270765443516
snoU13|ENSG00000271842.1_CNV,0.32282104338722933,0.002339883963522695,0.10205570875375707,0.008182285070198504,-0.06876254342816726,-0.05064952554075886,0.0015981386545538226,0.00457949961517872,0.00023749571681825593,0.011039386213231082,0.06204423956985936,-0.001163244881526448,0.020885550401790905,-0.05646270765443516
SNORA25|ENSG00000201957.1_CNV,0.3230005814161541,0.006128238571689776,0.10118622883289485,0.0009722541326866308,-0.07612057243157237,-0.048624680572896005,0.0010029104898925242,0.000881471930468353,0.00011523753883111373,0.0027023919997684076,0.06215016575374175,-0.00021149162053790265,0.015263422467574186,-0.049375975633098
SNORA18|ENSG00000200288.1_CNV,0.32219650001721434,0.004012615195605585,0.10010080923669609,0.0047870916831941135,-0.0745763577489525,-0.05243552983823619,0.002281559965311124,0.0031486994173741036,0.00011623341485134219,0.0120561629286229,0.06146241051711373,-0.0007922187964708175,0.018755027516620688,-0.05360614224455582
RN7SKP52_CNV,0.32265988520616323,0.0023387758124024426,0.10016149054526335,0.004329103132104236,-0.07523851284642905,-0.052956943805974564,0.0015569735825197882,0.0034343537810860893,0.00013023184344732424,0.010079455646805187,0.06212328308841899,-0.0007298588343352347,0.018909418879501427,-0.053954505939774175
ACTL6A_CNV,0.3223953349588631,0.005897174828495934,0.10297236070261977,0.001870254856781369,-0.07281512297900401,-0.048466268900526355,0.00015732633122417293,0.0028596979587035146,-3.791234757907706e-05,0.0038350646265801354,0.063266270411863,-0.0003651556651491563,0.016963982605142553,-0.04882201182980006
MRPL47_CNV,0.3223953349588631,0.005897174828495934,0.10297236070261977,0.001870254856781369,-0.07281512297900401,-0.048466268900526355,0.00015732633122417293,0.0028596979587035146,-3.791234757907706e-05,0.0038350646265801354,0.063266270411863,-0.0003651556651491563,0.016963982605142553,-0.04882201182980006
NDUFB5_CNV,0.3223953349588631,0.005897174828495934,0.10297236070261977,0.001870254856781369,-0.07281512297900401,-0.048466268900526355,0.00015732633122417293,0.0028596979587035146,-3.791234757907706e-05,0.0038350646265801354,0.063266270411863,-0.0003651556651491563,0.016963982605142553,-0.04882201182980006
snoU13|ENSG00000239096.1_CNV,0.3223953349588631,0.005897174828495934,0.10297236070261977,0.001870254856781369,-0.07281512297900401,-0.048466268900526355,0.00015732633122417293,0.0028596979587035146,-3.791234757907706e-05,0.0038350646265801354,0.063266270411863,-0.0003651556651491563,0.016963982605142553,-0.04882201182980006
RNA5SP149_CNV,0.3215794443109324,0.011909536981166842,0.10111078360989856,0.0020322151315704307,-0.07239058088257297,-0.049237246106770785,0.0008587919626399791,0.009390263591637735,-0.0002589651740655346,0.002554886353275316,0.06061398460598692,-0.00024662756677039556,0.012087346805051502,-0.053832850029833304
TNIK_CNV,0.31338077359773536,0.0002624428217237604,0.09861778016368154,0.011388257200441414,-0.06195005403187727,-0.04352333157133758,0.0005291057850885483,0.015961588458141145,-6.736093090358057e-06,0.008805796294348823,0.06347539975380476,-0.0011728004868695923,0.028560551472466826,-0.06210893173997337
LETM2_CNV,0.1106649587240042,-0.0003234408745886687,0.008054340605483712,0.034386353186908386,0.010220075667131153,0.04866295400359287,-0.03416111183375886,0.00017455678779083577,-0.0013391964148406893,-0.0006341844288045394,0.0002868553796000335,0.03629832642181796,0.006050955769025676,0.008823409450741062
MAP3K13_CNV,0.3180814538230409,0.015445240137468005,0.09512125350300649,0.002602896788471837,-0.07352992944345066,-0.04654144105756907,0.00034376962638964687,0.0004230698531852454,-0.0004384777366931287,0.00023920780156128093,0.0698370785342284,-0.002410465570061256,0.026150576247239297,-0.04901044512445654
EHHADH_CNV,0.3183429430989098,0.015211621993513379,0.09463218905582566,0.004484130503896904,-0.07336094139117728,-0.04758556856876368,0.00035695997525432495,0.0003901792474943348,-0.000261077248037922,0.0003353313997634767,0.06911485607121354,-0.0017922347329065963,0.02574920590968866,-0.04829844265314488
CLDN11_CNV,0.31005057716430756,0.00020345983181750546,0.09589634138732554,0.011319673317367716,-0.06262531305212765,-0.04575233689786237,0.0007459633015220392,0.014584317703041937,-1.7824813291533123e-05,0.011650728759785485,0.06315554693863143,-0.001306683344010388,0.027227038846967627,-0.059792261777452484
FNDC3B_CNV,0.3164502106361257,0.0006899227932742891,0.09619166223896716,0.012289460968303599,-0.06558377190450536,-0.045288751452736135,7.719426909902713e-05,0.01461831642230791,0.00018024158653326015,0.01394294326789939,0.06406715824687619,-0.0021038002545744057,0.02965867888368284,-0.05409573878632626
snoU13|ENSG00000239146.1_CNV,0.3155384246559382,0.01573490783501613,0.09449786581227203,0.002145872332462782,-0.07226984068812907,-0.04756730913312785,0.0004907238063614642,0.0028694212498580943,-0.00018222070479369937,9.803647706443999e-05,0.06941872196958562,-0.0031934627041581517,0.025179423928800435,-0.05074966586267553
GHSR_CNV,0.3158110698378079,0.0008311646453057025,0.09392640273600641,0.010896981180215013,-0.06546375423123034,-0.0459831735644952,-3.0638246866964513e-05,0.014603536448899487,0.00028236358527249246,0.015693986458154983,0.06377731548874639,-0.001974726851664489,0.029301120334670694,-0.05403145569570351
SLC7A14_CNV,0.30958064117329764,0.0003192706199868719,0.09475736023163292,0.011601805736577264,-0.062452426882919417,-0.04575361308059968,0.0008240067793916059,0.015588342054543852,-4.240688318044666e-06,0.013545404432355107,0.0640592173865158,-0.001492285411917839,0.025795086167624312,-0.05788006392957655
SLC2A2_CNV,0.30906505686213376,0.00017767032392684238,0.09723419101902128,0.011870973751596956,-0.061934195182452516,-0.046293134975656236,0.0007674938032261716,0.01550653924699117,8.385846018787875e-05,0.010449820136768352,0.06407306438610424,-0.0008592155262177875,0.02846783494967081,-0.06206769193834707
EIF5A2_CNV,0.30884929039142317,0.00015228902883944188,0.09735535340017507,0.011490521904101906,-0.062097536830164356,-0.046535405673739164,0.0007512868976515001,0.01561311967124372,5.534541543759506e-05,0.00889319183693669,0.06392202982653773,-0.0008879478778498959,0.028488721006239604,-0.06262056800198175
